Municipio,Categoria,Nome,Endereco,Latitude,Longitude
João Pessoa,Segurança,2ª Delegacia Distrital de Polícia Civil,"Av. Dom Pedro I, 842 - Centro, João Pessoa - PB, 58013-020",-7.118584616045162,-34.87457847511377
João Pessoa,Segurança,3ª Delegacia Distrital da Polícia Civil,"R. Profa. Eudésia Viêira, 539 - Estados, João Pessoa - PB, 58030-390",-7.110524207976358,-34.851381147251665
João Pessoa,Segurança,4ª Delegacia Distrital,"R. Cel. Eduardo Costa - Ernesto Geisel, João Pessoa - PB, 58075-250",-7.1776288927974194,-34.870610032784505
João Pessoa,Segurança,8ª Delegacia Distrital da Capital,"Avenida Parque - Distrito Industrial, João Pessoa - PB, 58082-030",-7.176130848003943,-34.90809683278454
João Pessoa,Segurança,9ª Delegacia Distrital,"R. Josefa Taveira, s/n - Mangabeira, João Pessoa - PB, 58055-018",-7.171287447895455,-34.839062676962996
João Pessoa,Segurança,10° Delegacia Distrital de Tambaú,"Av. Nego, 820 - Tambaú, João Pessoa - PB, 58039-101",-7.113568846608342,-34.82943013278518
João Pessoa,Segurança,11ª Delegacia Distrital,"R. Inspetora Emilia Mendonca Gomes - Valentina de Figueiredo, João Pessoa - PB, 58064-360",-7.20241364859405,-34.843544632784365
João Pessoa,Segurança,12ª Delegacia Distrital em Manaíra,"R. Manoel Medeiros Guedes, 41 - Manaíra, João Pessoa - PB, 58038-360",-7.098384206461751,-34.839564930935566
Mamanguape,Educação,ECIT João da Matta Cavalcanti de Albuquerque,"Conjunto Nossa Senhora da Penha I, Mamanguape - PB, 58280-000",-6.843488193126138,-35.140010032787295
Mamanguape,Educação,ECI DR GUSTAVO FERNANDES DE LIMA SOBRINHO,"R. Benedito Joel Cordeiro, Mamanguape - PB, 58280-000",-6.845507088421355,-35.14016183278724
Mamanguape,Educação,ECI Senador Rui Carneiro,"AVENIDA, R. Sen. Rui Carneiro, 55 - CAMPO, Mamanguape - PB, 58280-000",-6.841002188224781,-35.13175446162318
Mamanguape,Educação,EEEF ANTONIO PINTO BARBALHO,"Rod. Governador Mário Covas, E614 - Pitanga da Estrada, Mamanguape - PB, 58280-000",-6.601012477942643,-35.14446083278932
Mamanguape,Educação,EEEF DR JOSE A DA TRINDADE,"SITIO CAMARATUBA S/N ZONA RURAL, Mamanguape - PB, 58280-000",-6.8403910881981185,-35.131958603951645
Mamanguape,Educação,Escola Estadual Umbelina Garcez,"R. Dom Vital, Mamanguape - PB, 58280-000",-6.838459410835424,-35.13361062429835
Mamanguape,Educação,Escola Estadual De Ensino Fundamental Antonio Garcez,"Sítio Pindobal Zona Rural, Mamanguape - PB, 58280-000",-6.842848499999998,-35.09610495830733
Mamanguape,Educação,EEEF PROFESSOR LUIZ APRIGIO,"R. Pres. João Pessoa, S/N - Centro, Mamanguape - PB, 58280-000",-6.835479671476331,-35.12137331559497
Mamanguape,Trânsito,Detran Mamanguape,"R. Pres. João Pessoa, 261, Mamanguape - PB, 58280-000",-6.83342998789464,-35.118711603951716
Mamanguape,Segurança,DELAGACIA DE POLICIA DE MAMANGUAPE,"R. Escritor Lima Pinto, 18, Mamanguape - PB, 58280-000",-6.840454036924212,-35.13077579227024
Pedra Branca,Educação,Escola Mundo Encantado,"R. CLARO ALVINO, S/N CENTRO, 58790-000 Pedra Branca - PB",-7.427970470976738, -38.06659863801582
Pedra Branca,Educação,EM DE EDUCACAO BASICA PROF. LAURA DE SOUSA OLIVEIRA,"R. Adauto Oliveira, Centro, Pedra Branca - PB, 58790-000",-7.428351730342644,-38.07027422427005
